user_id	item_id	time
43	23	20090315062646
28	23	20090315063406
43	22	20090317042616
28	22	20090317042647
28	44	20090317042832
28	12	20090323194129
3457	222	20090411121354
3457	222	20090411121539
3555	242	20090417181942
10356	279	20090424022823
10356	279	20090424022836
10356	283	20090424215415
10356	283	20090424215451
10	17	20090425230625
10	16	20090425231604
4138	256	20090426024458
52	303	20090426124726
10356	331	20090427214716
144	383	20090508012016
52	303	20090510124708
52	403	20090510181617
144	416	20090512192031
1321	399	20090512233215
10356	429	20090515003633
10356	429	20090515011317
659	378	20090517210519
12182	452	20090519223642
699	461	20090521221211
699	387	20090522235836
52	472	20090523173051
52	303	20090524123527
730	495	20090527012108
52	303	20090531122247
52	303	20090531122348
699	524	20090601174500
9624	109	20090602015904
10356	543	20090606180254
10356	556	20090607183038
10356	556	20090607183815
10356	556	20090607183842
10356	556	20090607183856
699	419	20090608201409
1258	126	20090611033009
1258	8	20090611035532
1258	572	20090611043250
1258	146	20090611050031
10356	596	20090613235120
10356	598	20090614012500
10356	598	20090614012600
10356	598	20090614012618
10356	598	20090614012643
10356	600	20090614120235
659	121	20090627174602
65	671	20090628171404
6243	466	20090629155115
65	682	20090630025026
55	90	20090630235211
55	91	20090630235439
1305	713	20090704190940
65	722	20090705192332
65	726	20090706043441
730	756	20090709114029
730	756	20090709114215
730	761	20090710065452
730	771	20090711131023
55	9	20090711160227
730	789	20090713073556
730	790	20090713084107
730	791	20090713123148
55	42	20090713233728
65	804	20090714172914
55	536	20090715183957
55	4	20090715184405
9637	858	20090721173503
27	861	20090721212722
55	154	20090723213127
55	881	20090724163443
27	92	20090724202616
55	767	20090725182207
3585	907	20090727000655
645	571	20090727204014
645	835	20090727204619
55	924	20090728204604
673	929	20090729032614
55	28	20090730224650
3536	782	20090803184435
10264	782	20090803200652
6255	983	20090805222324
55	988	20090808232449
658	990	20090809004851
658	989	20090809005016
692	566	20090809160221
692	566	20090809160253
55	991	20090810185723
673	340	20090813040207
77	1046	20090813212008
52	472	20090813212557
77	1047	20090813214734
55	70	20090813220930
55	55	20090813221026
55	769	20090814164414
55	903	20090814164518
55	910	20090814164630
55	860	20090814170958
55	1079	20090816023131
55	1	20090816214827
55	956	20090818232232
55	766	20090819162759
55	857	20090819163248
658	1138	20090821163555
24	1076	20090822185925
55	1165	20090823020427
55	677	20090823154503
28	12	20090824170055
2381	1191	20090824192521
28	12	20090825155249
28	12	20090826004428
55	1132	20090828212023
55	1133	20090828212121
55	26	20090829154507
55	10	20090829172621
405	1046	20090829213448
405	1047	20090829215122
55	1193	20090831171035
55	476	20090901221222
55	476	20090901221238
55	1001	20090901221246
59	1293	20090904034526
2381	1012	20090905004706
24	1318	20090905034204
55	90	20090906011337
405	1112	20090906021854
405	1112	20090906022016
405	1122	20090906023729
405	1122	20090906023730
405	1123	20090906024105
52	303	20090906124329
52	472	20090906171037
52	472	20090906171039
55	208	20090907162727
405	1355	20090907232019
24	1318	20090908015906
673	1358	20090908132616
9637	1362	20090908222724
2381	1250	20090911040554
59	1407	20090912193956
795	58	20090912194643
795	1409	20090912203025
405	1410	20090912204458
94	1406	20090912205005
743	1412	20090912230238
673	1412	20090912230323
795	1416	20090913024209
795	1125	20090913031735
795	957	20090913053218
795	1421	20090913054123
55	1032	20090913231216
795	1433	20090914111032
55	479	20090914135417
55	477	20090914135450
55	478	20090914135549
795	10178	20090915204748
94	1447	20090915222624
94	1406	20090915224219
795	230	20090915224650
795	132	20090915225021
55	1146	20090915231555
92	1397	20090916074102
6352	165	20090916163756
6352	987	20090916163856
94	1453	20090916170656
92	1454	20090916180450
92	1454	20090916180457
6352	1193	20090916221346
79	1458	20090916223630
796	816	20090917002219
59	1461	20090917042441
795	1433	20090917151813
795	104	20090917154955
795	114	20090917155323
795	115	20090917155531
79	1463	20090917174432
92	20	20090917175817
795	133	20090917182628
795	135	20090917182929
795	134	20090917183058
795	182	20090917183407
92	1212	20090917190910
92	1464	20090917192542
92	1464	20090917192553
24	1048	20090917231449
94	1406	20090917231916
92	1397	20090917232112
92	1454	20090917235409
64	3	20090918000312
795	957	20090918052151
77	769	20090918125102
77	560	20090918130303
795	1075	20090918162516
6442	1069	20090918231803
795	1125	20090918233114
10995	5	20090919001046
94	1491	20090919014703
795	1292	20090919043400
52	1024	20090919181833
94	1447	20090919182245
795	58	20090919215145
673	5	20090919221056
10903	1522	20090920011923
94	1406	20090920013019
795	1524	20090920033355
4138	256	20090920033648
1153	153	20090920035026
92	1228	20090920181520
77	208	20090920203323
2175	1035	20090920205808
92	861	20090920221708
92	1454	20090920222025
92	1540	20090920224634
92	1540	20090920224638
73	1550	20090921010608
92	661	20090921020103
477	1552	20090921023214
1023	1553	20090921023419
405	1117	20090921143658
77	769	20090921145044
77	903	20090921145128
77	834	20090921145343
77	860	20090921150434
77	910	20090921152645
55	766	20090921192628
77	1226	20090921193025
55	32	20090921195911
1023	1271	20090921213306
795	1571	20090921234744
92	619	20090922003401
2175	1572	20090922011430
2175	1508	20090922020004
55	766	20090922123131
55	32	20090922123333
1038	1586	20090922123425
55	766	20090922155434
55	1306	20090922174430
92	1019	20090922174430
55	1383	20090922174456
55	1574	20090922174710
92	661	20090922180321
77	560	20090922195601
77	768	20090922195609
55	766	20090922200233
77	860	20090922200704
77	903	20090922202714
92	1000	20090922211138
94	1406	20090922214507
637	287	20090922225904
28	12	20090922235215
795	1620	20090923021307
92	1397	20090923024603
