user_id	item_id	time
72510	5850	20041019
21348	21099	20050303
21348	12734	20050307
21348	13841	20050325
63934	15651	20050401
21348	269	20050414
21348	6589	20050426
21348	635	20050427
21348	11001	20050429
21348	21597	20050509
33477	8848	20050618
21348	8770	20050627
21348	14909	20050816
51697	21076	20050902
21348	1696	20051003
21348	12309	20051024
21348	3884	20051028
18625	8816	20051111
18625	145	20051111
18625	838	20051111
18625	16084	20051116
21348	21606	20051208
2588	18199	20051215
21348	10574	20051220
24902	1994	20051229
21348	21554	20060106
35938	10362	20060108
16181	7454	20060121
18625	18199	20060125
18625	19721	20060125
18625	369	20060125
18625	14656	20060131
18625	3072	20060131
18625	21437	20060131
18625	7747	20060203
68855	7427	20060211
52629	18916	20060214
18625	21507	20060220
177	13152	20060221
18625	14285	20060221
46563	838	20060309
65637	8765	20060404
19008	4519	20060405
65637	17635	20060406
65637	4887	20060406
21348	17935	20060504
18625	1995	20060519
38354	7148	20060522
69398	3566	20060601
9837	10133	20060602
35938	21142	20060604
49230	7540	20060605
68284	11134	20060618
3340	5080	20060619
61044	19566	20060619
33476	6011	20060629
69265	20605	20060630
47506	2695	20060709
16009	9158	20060712
71406	796	20060715
53355	10293	20060717
29890	17125	20060721
50606	6493	20060724
16010	13152	20060726
40882	4100	20060727
48590	4738	20060727
27370	2030	20060805
45228	5850	20060808
63778	13152	20060808
63778	15074	20060808
50641	10656	20060813
55318	7500	20060815
50641	17159	20060817
60394	9781	20060817
50641	12805	20060818
50641	9466	20060818
50641	7427	20060818
50641	17878	20060818
36883	1578	20060823
8350	21637	20060824
8350	19370	20060824
24326	3287	20060829
47895	13152	20060830
18625	8594	20060908
19180	7548	20060912
57145	15688	20060912
42905	15362	20060913
46491	588	20060913
73281	15074	20060919
29204	16231	20060923
48590	20096	20061001
18625	6899	20061003
32479	13152	20061007
8350	9557	20061009
8350	6656	20061009
9837	12480	20061009
57145	21688	20061010
9837	5610	20061019
9837	13895	20061020
53191	9079	20061022
27370	6857	20061023
10530	14625	20061024
34651	254	20061026
43512	4813	20061028
8350	4011	20061030
57025	442	20061030
14767	8199	20061106
31848	21803	20061108
40248	7331	20061108
10478	21302	20061110
73281	17082	20061116
70349	8581	20061126
59418	17082	20061127
47782	4445	20061128
338	12805	20061202
70816	10133	20061204
23001	17878	20061205
39306	11834	20061205
19623	7331	20061206
31369	20477	20061207
25536	16971	20061208
8559	6613	20061211
49579	11357	20061211
27578	4147	20061212
42761	16707	20061216
18625	12742	20061222
27370	18304	20061229
31265	16478	20061230
1123	11492	20061231
40177	8816	20061231
8840	21695	20070102
18864	588	20070102
11193	17923	20070106
59454	12234	20070108
37081	17082	20070110
65637	20069	20070110
1754	3360	20070111
11193	7785	20070111
59279	14256	20070111
11193	21532	20070112
11193	9005	20070113
66442	20649	20070116
56230	11716	20070118
17540	18553	20070119
17540	12005	20070119
63329	18828	20070119
1754	17049	20070121
12978	6493	20070121
38062	5488	20070122
17646	6747	20070123
13207	6464	20070125
41790	3884	20070125
65637	9972	20070128
21348	11556	20070129
72567	9245	20070129
32481	17049	20070130
17646	20726	20070131
32481	6922	20070131
32481	15467	20070131
32481	9079	20070131
34828	8816	20070131
32481	13905	20070201
32481	11	20070201
46706	16793	20070201
32481	7747	20070202
32481	16619	20070202
1446	6613	20070203
34379	20146	20070203
